"","Analysis_Category","inflow","outflow","percent"
"1","Bioretention",33566,5805,0.82705714115474
"2","Composite",3552427.6,3429079,0.0347223402948452
"3","Detention Basin",354872.4,228658.5,0.355659949886213
"4","Grass Strip",10539,7086,0.327640193566752
"5","Grass Swale",20331.5,13931.89,0.314763298330177
"6","Manufactured Device",120006.8,119298.9,0.00589883239949743
"7","Media Filter",368515.4,180293.4,0.51075748801814
"8","Retention Pond",451528.55,376245.95,0.166728327588588
"9","Wetland Basin",963594,867100,0.100139685386169
"10","Wetland Channel",3459916.4,3102207,0.103386717667514
